holdout_row_position,transaction_timestamp,true_label,raw_classifier_probability,reviewed_at_capacity,error_category,transaction_amount,score_decile,chronological_decile
74474,15335752,1,0.9609984,False,missed_fraud_not_reviewed,35.0,score_decile_10,time_period_9
46893,14495759,1,0.96084243,False,missed_fraud_not_reviewed,15.862,score_decile_10,time_period_6
85673,15722009,1,0.9607773,False,missed_fraud_not_reviewed,8.115,score_decile_10,time_period_10
32258,14070660,1,0.9607249,False,missed_fraud_not_reviewed,39.962,score_decile_10,time_period_4
64779,15023573,1,0.9605697,False,missed_fraud_not_reviewed,9.283,score_decile_10,time_period_8
50102,14586942,1,0.9605425,False,missed_fraud_not_reviewed,80.416,score_decile_10,time_period_6
8181,13364530,1,0.96051526,False,missed_fraud_not_reviewed,69.595,score_decile_10,time_period_1
56507,14775011,1,0.9602739,False,missed_fraud_not_reviewed,250.0,score_decile_10,time_period_7
70895,15208003,1,0.96001434,False,missed_fraud_not_reviewed,10.943,score_decile_10,time_period_9
64943,15026944,1,0.959974,False,missed_fraud_not_reviewed,8.115,score_decile_10,time_period_8
73042,15279772,1,0.95976204,False,missed_fraud_not_reviewed,33.199,score_decile_10,time_period_9
56914,14788521,1,0.9594132,False,missed_fraud_not_reviewed,50.0,score_decile_10,time_period_7
21223,13736757,1,0.9592653,False,missed_fraud_not_reviewed,83.49,score_decile_10,time_period_3
74826,15348039,1,0.9591432,False,missed_fraud_not_reviewed,18.198,score_decile_10,time_period_9
64760,15023082,1,0.95912415,False,missed_fraud_not_reviewed,8.915,score_decile_10,time_period_8
62013,14939574,1,0.9588599,False,missed_fraud_not_reviewed,55.639,score_decile_10,time_period_8
42121,14344888,1,0.9588529,False,missed_fraud_not_reviewed,8.361,score_decile_10,time_period_5
49367,14574441,1,0.9588358,False,missed_fraud_not_reviewed,200.0,score_decile_10,time_period_6
80557,15554437,1,0.9587455,False,missed_fraud_not_reviewed,101.626,score_decile_10,time_period_10
86307,15738742,1,0.95848304,False,missed_fraud_not_reviewed,200.0,score_decile_10,time_period_10
80686,15557752,0,0.9994261,True,unnecessary_review_legitimate,130.645,score_decile_10,time_period_10
80383,15550017,0,0.9993411,True,unnecessary_review_legitimate,78.387,score_decile_10,time_period_10
80740,15559262,0,0.9988422,True,unnecessary_review_legitimate,130.645,score_decile_10,time_period_10
80723,15558632,0,0.9986904,True,unnecessary_review_legitimate,130.645,score_decile_10,time_period_10
76276,15380826,0,0.99816006,True,unnecessary_review_legitimate,86.687,score_decile_10,time_period_9
63083,14962372,0,0.99815434,True,unnecessary_review_legitimate,81.092,score_decile_10,time_period_8
27669,13947981,0,0.9979911,True,unnecessary_review_legitimate,15.247,score_decile_10,time_period_4
79859,15537444,0,0.99795425,True,unnecessary_review_legitimate,22.625,score_decile_10,time_period_10
34906,14150187,0,0.9979346,True,unnecessary_review_legitimate,20.903,score_decile_10,time_period_4
27668,13947916,0,0.9977335,True,unnecessary_review_legitimate,15.247,score_decile_10,time_period_4
80790,15561030,0,0.9975165,True,unnecessary_review_legitimate,128.001,score_decile_10,time_period_10
34917,14150359,0,0.99745053,True,unnecessary_review_legitimate,20.903,score_decile_10,time_period_4
63082,14962276,0,0.9974286,True,unnecessary_review_legitimate,81.092,score_decile_10,time_period_8
34902,14150067,0,0.9967781,True,unnecessary_review_legitimate,20.903,score_decile_10,time_period_4
27663,13947625,0,0.9966036,True,unnecessary_review_legitimate,15.247,score_decile_10,time_period_4
27661,13947392,0,0.99654776,True,unnecessary_review_legitimate,15.247,score_decile_10,time_period_4
79583,15529915,0,0.99639684,True,unnecessary_review_legitimate,22.625,score_decile_10,time_period_9
34911,14150271,0,0.9962626,True,unnecessary_review_legitimate,20.903,score_decile_10,time_period_4
85879,15725795,0,0.9962132,True,unnecessary_review_legitimate,15.493,score_decile_10,time_period_10
76274,15380783,0,0.9960349,True,unnecessary_review_legitimate,86.687,score_decile_10,time_period_9
